flight_level,cruise_schedule,tat_for_isa,optimum_weight_for_flight_level_1000_kg,cruise_weight_1000_kg_cruise_thrust_limits_(ISA -5),cruise_weight_1000_kg_cruise_thrust_limits_(ISA),cruise_weight_1000_kg_cruise_thrust_limits_(ISA+5),cruise_weight_1000_kg_cruise_thrust_limits_(ISA+10),cruise_weight_1000_kg_cruise_thrust_limits_(ISA+15),cruise_weight_1000_kg_cruise_thrust_limits_(ISA+20)
410,LRC,-30,,57.6,57.1,56.3,55.2,,
410,0.79,-30,,58,57.5,56.8,55.7,,
410,0.8,-29,,57.6,57.1,56.3,55.1,,
410,0.82,-27,,56.2,55.6,54.7,,,
410,0.84,-26,,,,,,,
390,LRC,-30,54.5,63.5,63,62.1,60.9,59.1,56.8
390,0.79,-30,55.3,64,63.4,62.6,61.4,59.6,57.2
390,0.8,-29,55.3,63.5,62.9,62.1,60.8,58.9,56.4
390,0.82,-27,55.3,62,61.3,60.4,58.9,56.8,
390,0.84,-26,53.5,59.4,58.6,57.6,55.9,,
370,LRC,-30,59.8,70.1,69.5,68.5,67.1,65.2,62.6
370,0.79,-30,61.1,70.6,69.9,69.1,67.8,65.8,63.1
370,0.8,-29,61.1,70.1,69.4,68.5,67,65,62.2
370,0.82,-27,60.7,68.4,67.7,66.6,65,62.7,59.6
370,0.84,-26,58.6,65.5,64.7,63.5,61.7,59.2,55.9
350,LRC,-27,65.8,76.9,76.1,74.8,73,70.7,67.6
350,0.79,-27,67.4,77.5,76.7,75.5,73.7,71.3,68.1
350,0.8,-26,67.4,76.9,76,74.8,72.9,70.4,67
350,0.82,-25,66.7,75,74.1,72.6,70.5,67.7,64.1
350,0.84,-23,64.5,71.8,70.7,69.2,66.9,63.8,59.7
330,LRC,-23,72.3,83.9,82.7,80.8,78.2,75.1,71.2
330,0.79,-23,74.2,84.5,83.3,81.5,78.9,75.6,71.3
330,0.8,-22,74.2,83.9,82.6,80.6,77.9,74.5,70
330,0.82,-16,73.3,81.7,80.2,78.1,75.1,71.3,66.4
330,0.84,-14,70.8,78,76.5,74.1,70.9,66.7,60.8
310,LRC,-18,79.6,91.4,89.6,87,83.5,79.4,74.7
310,0.79,-18,81.6,92.1,89.5,86.7,82.9,78.3,72.5
310,0.8,-17,81.6,91.3,89.5,86.7,82.9,78.3,72.5
310,0.82,-16,80.5,88.8,86.7,83.7,79.5,74.5,67.9
310,0.84,-14,77.8,84.7,84.7,82.7,74,68.6,60.2
290,LRC,-9,87.2,,,92.5,88.2,83.4,77.9
290,0.79,-9,89.4,,,93.3,88.6,83,76
290,0.8,-8,89.4,,,92,87.1,81.3,73.8
290,0.82,-7,88.3,,92.5,88.4,83.2,76.6,67.6
290,0.84,-5,85.5,90.7,87.6,83.2,77.1,68.9,57.7
270,LRC,-9,95.2,,,,92,86.6,80.7
270,0.79,-9,,,,,91.8,85.1,76.2
270,0.8,-8,,,,,90,82.9,73.4
270,0.82,-7,,,,91.9,85.2,76.8,65.2
270,0.84,-5,93.5,,91.6,85.6,77.4,66.8,
250,LRC,-5,,,,,,89.4,82.8
250,0.79,-5,,,,,94,85.5,74.3
250,0.8,-4,,,,,91.7,82.7,70.5
250,0.82,-2,,,,94.4,85.5,74.3,60.5
250,0.84,-1,,,94.6,86.3,75.2,62,